image,url
crop_00000136,https://drive.google.com/file/d/1mirTnroIOfnOJc00nS8gqQgoRXzsuA-Q/view?usp=drive_link
crop_00000134,https://drive.google.com/file/d/1rJjfRSC9MzIEvPFKRASgaUeDE8jKHfh3/view?usp=drive_link
crop_00000133,https://drive.google.com/file/d/1mS3BZEWHnXiROW5hY3eyY6750A0S6ZL0/view?usp=drive_link
crop_00000129,https://drive.google.com/file/d/1l0isIaOdD2VJbG1yxV8SKeQ39oT37u7q/view?usp=drive_link
crop_00000128,https://drive.google.com/file/d/1NzPUHSw8qyOdqb8SvT_B7LFZDGRrgYyj/view?usp=drive_link
crop_00000127,https://drive.google.com/file/d/1udKzFbAW9FSN_R6vghZI0pZJL7mluraI/view?usp=drive_link
crop_00000122,https://drive.google.com/file/d/1f2SeXSLEfoupQ2RjI1JFjHZ1kciaa59H/view?usp=drive_link
crop_00000121,https://drive.google.com/file/d/18LdBjo-xoE6IP3Ja7u9CXYS8zrUADnEh/view?usp=drive_link
crop_00000120,https://drive.google.com/file/d/19-ZLPE0_G0npdKybXhwYxd3_k5N-Rden/view?usp=drive_link
crop_00000118,https://drive.google.com/file/d/1w6xf8p2I2Lt_4pX628tYvfBZIrKEFdRU/view?usp=drive_link
crop_00000117,https://drive.google.com/file/d/1oFiypWOehD1G_-WXWYmV9eNVr4aeDwou/view?usp=drive_link
crop_00000116,https://drive.google.com/file/d/16ZsmOjjdd6KjlHRMBgrirHQ8sEAm8NfU/view?usp=drive_link
crop_00000114,https://drive.google.com/file/d/1KFMTCDNKkLCIQmUwD3mIetIdpIo4D0KQ/view?usp=drive_link
crop_00000112,https://drive.google.com/file/d/1C5CIhN_m_HFA0V1xbtnQQ4c_r3cTWZqd/view?usp=drive_link
crop_00000107,https://drive.google.com/file/d/1ni0oeBqjE3EoLM23jBVCv8Mw0j_sNYM7/view?usp=drive_link
crop_00000106,https://drive.google.com/file/d/13PNI8llzG7UpUKmRg-yMrHnFb5Ps6bXh/view?usp=drive_link
crop_00000103,https://drive.google.com/file/d/1szFAeE6UhiFQT72FhyptA9_pO6_doQ9d/view?usp=drive_link
